item,quantity,spec
surface_panel,2,1500x600x18 mm birch plywood
disturbance_insert,1,300x600 mm swap-in panel with 15 mm mismatch or low-friction surface
support_frame,2,"6060 aluminum extrusion, 1500 mm"
